epoch,train_loss,train_recon_loss,train_mse_loss,train_kld_loss,train_adv_enc_loss,train_disc_loss,val_loss,val_recon_loss,val_mse_loss,val_kld_loss,beta,deterministic_latent,lr
15,1.0793874018025569,0.866105101625894,3.9625896230730313,0.7990949872221397,1.063634043284234,1.1796933615572525,1.1956263672931198,0.9977664781248564,4.650846458521465,0.7400908101417928,0.26666666666666666,False,0.0008205248749256015
16,0.960627901292721,0.7330591796296221,3.3443531628913252,0.7748748616362723,0.9426599828510078,1.2522775227281362,1.1593942569219042,0.9315609802189361,4.343075095702592,0.7765989388653602,0.29333333333333333,False,0.0007959536998847743
17,0.870016810368124,0.6306220842979324,2.8710854551216682,0.7465356072250933,1.019539822374485,1.1692123466942934,1.1120216713983175,0.877348348714885,4.090025251718177,0.7311417548872722,0.32000000000000006,False,0.0007702342635146033
18,0.8553344556669401,0.5602161304232345,2.547029930492402,0.8505154886622509,1.0385937685872828,1.1808130693005485,1.1428284723044615,0.8384692888665056,3.9140652047997935,0.8779295819771775,0.3466666666666667,False,0.000743468068680349
19,0.8128057158904203,0.509473015065128,2.317265026817418,0.8111236880861097,1.109563221465502,1.1631202661691884,1.1892454363226124,0.8174867881975767,3.8229931253787446,0.9957343858556499,0.37333333333333335,False,0.000715760749324711
20,0.7715515334741753,0.46910540352631436,2.1362954016695865,0.7549778405738099,1.06364900688582,1.1770646003869552,1.078816188078765,0.783025490830871,3.6670125143994228,0.7392928083746629,0.4,False,0.0006872216535789157
21,0.7816221769782468,0.438378360656896,2.000829300978464,0.8575251727320143,0.9931188463971393,1.1732164540948302,1.1641681425046702,0.7339168236260941,3.433241916482028,1.0753343503551647,0.4,False,0.000657963412215599
22,0.7281925042158058,0.4177025957732709,1.909996162427755,0.7747264022721,1.2289386134577143,1.136888485100374,1.0230598207437775,0.7471621831682167,3.508331254877194,0.6867569656508554,0.4,False,0.000628101494146603
23,0.6829521493798671,0.39528347561284916,1.8123151814019804,0.7170167888111639,1.1748433168196752,1.0795956789072776,1.0151927363229467,0.7168545241462,3.36366953753706,0.7442748464279173,0.4,False,0.0005977537507199338
24,0.6935905270739345,0.37959849214918956,1.7438013307946498,0.784166553830259,1.1734602759166985,1.0842209902451745,1.041533963897193,0.7087166235828151,3.3255320525678913,0.8318148174686544,0.4,False,0.0005670399506143307
25,0.7063134849636094,0.3666284944868186,1.6870078902635026,0.8484354665393465,1.157934048887477,1.111070794198769,1.0963170287103003,0.6746790173240608,3.158398304272147,1.0537713064266099,0.4,False,0.0005360813071670102
26,0.6835628082405851,0.3544976794705356,1.6327991704773916,0.8215937477698889,1.1776814483452915,1.1157428638758478,1.028001889479384,0.6850475502505345,3.2158768757816105,0.8568263888518001,0.4,False,0.000505
27,0.6881297826015964,0.34184872751415246,1.5768032784024022,0.8647913177043053,1.20633823383608,1.0515600299278374,1.0556210343743393,0.6451286479108435,3.0207957995350276,1.0249297913195348,0.4,False,0.0004739186928329899
28,0.6917756678525628,0.33114187259120526,1.5257829993705212,0.8999328583128631,1.2310862215507097,1.0753630137645906,1.0330308932610495,0.6347443480028824,2.965147939252335,0.9927353821782166,0.4,False,0.0004429600493856695
29,0.6973730070095708,0.31445112748525367,1.444470894960244,0.9547367054660993,1.2232791034454742,1.0599202457292245,1.0981452368082822,0.6119091623150951,2.8540070845000485,1.2142007411137778,0.4,False,0.0004122462492800663
