tag,lam,drop_port,d_eff,best_epoch,seed,latent_dim,mdl_linear_compression,mdl_mlp_compression,lgbm_val_f1,lgbm_val_mcc,lgbm_val_precision_at_fpr0.01,lgbm_val_purged_f1,lgbm_val_purged_mcc,lgbm_val_purged_precision_at_fpr0.01,lgbm_test_f1,lgbm_test_mcc,lgbm_test_precision_at_fpr0.01,lgbm_test_purged_f1,lgbm_test_purged_mcc,lgbm_test_purged_precision_at_fpr0.01,mlp8_val_f1,mlp8_val_mcc,mlp8_val_precision_at_fpr0.01,mlp8_val_purged_f1,mlp8_val_purged_mcc,mlp8_val_purged_precision_at_fpr0.01,mlp8_test_f1,mlp8_test_mcc,mlp8_test_precision_at_fpr0.01,mlp8_test_purged_f1,mlp8_test_purged_mcc,mlp8_test_purged_precision_at_fpr0.01,lgbm_head_params,mlp8_head_params,lgbm_head_KB,mlp8_head_KB
M_lam1,1.0,False,1,7,42,8,2.255518630350208,2.4746737113659387,0.8439200963995347,0.7018945412734876,0.9809175010328037,0.8422054966667841,0.7240950671246963,0.9764441311717518,0.762277752380877,0.6420478040824464,0.9574432226511572,0.4562829875273975,0.35564520196448385,0.8123900035198873,0.4349081610884699,0.1411464501535557,0.6105163429654192,0.41867870557139875,0.13362033979325275,0.5364806866952789,0.33641402567680884,0.07557442303403916,0.4118396765403885,0.21144963894800228,0.0057935033763313005,0.12554080262568998,25200,81,1379.3,0.31640625
S_dropport,0.0,True,1,3,42,4,2.375943701279764,2.792531613217381,0.7408214099519203,0.513669931757395,0.9639774629128222,0.7549692051127732,0.5609394062196267,0.9614717474118719,0.571639765997157,0.3374163522591366,0.8573605737975722,0.47922603602529257,0.32375285657377095,0.5791117653394607,0.7934961309752686,0.5398583748313832,0.949669749817888,0.7450250135989209,0.5002014266416426,0.9540028043874248,0.6935596761076558,0.4701445226460098,0.4122348601291116,0.49162060210062986,0.3417794124827237,0.2823558222113383,25200,49,1379.3,0.19140625
S_lam0.25,0.25,False,3,3,42,4,1.7203538992203202,1.7457100959717264,0.8049891279392564,0.6652364267046713,0.9843756271613963,0.8237359963155929,0.7104842528816935,0.98495663473452,0.6025162742685626,0.4782326967046476,0.9527261650929029,0.4207740951697538,0.3236183042661244,0.8896815319973297,0.3738784686222557,-0.03401302383857936,0.22666029622551362,0.3395665733314544,-0.05190281097128368,0.08071748878923767,0.21775060904874335,-0.18799106238036797,0.003211591605048921,0.13778094304141233,-0.1682699753411813,0.0017126220243192328,25200,49,1379.3,0.19140625
S_lam0,0.0,False,2,3,42,4,2.635306672315239,3.2969058647143172,0.8167717303437309,0.6836293560032892,0.9822112409725617,0.8891501702693697,0.806869934261122,0.9790869144261563,0.5697040080178123,0.4738242414254586,0.9489789305550791,0.6222988604399848,0.557483906052229,0.88116544210793,0.8498807963620412,0.6784597685583857,0.9721936635913531,0.8109850587813361,0.6477359621489533,0.9609713790112749,0.7286397179893145,0.5531372535847862,0.9241351555104609,0.40531276506855385,0.24390290057708822,0.7019800218590346,25200,49,1379.3,0.19140625
S_lam0_s43,0.0,False,1,4,43,4,1.8204889944510907,2.6090666928694675,0.767232073969863,0.565887831660565,0.9695874591731428,0.6975929760844306,0.4986181192777717,0.9504282798895581,0.7225517690580681,0.549635919938721,0.9448939174973341,0.3663799875890549,0.19480391921053433,0.7093640013879938,0.4199368526888241,-0.11949476841460231,0.844058795637743,0.4739597139119854,-0.03794942422930813,0.8535333514156356,0.21822429987859285,-0.29816338131724895,0.15376344086021507,0.27336451703510867,-0.04957245408768465,0.1481400755594304,25200,49,1379.3,0.19140625
S_lam0_s44,0.0,False,2,3,44,4,2.594200153273287,3.727013392936582,0.8668920162793807,0.748741954819267,0.986076060851391,0.8986953490864609,0.8192782016548972,0.9845787204827072,0.6869829869726282,0.5570887937064958,0.964307240965462,0.47614027959322136,0.37272910957799127,0.8812520886710482,0.8847387435411007,0.7593666814033002,0.9786219448777951,0.8757507923491212,0.7708782277387788,0.9803209755413834,0.7720486186206599,0.6364952101817072,0.5072164948453608,0.4796672600926306,0.3561970577923512,0.16600256154831364,25200,49,1379.3,0.19140625
S_lam1,1.0,False,3,7,42,4,1.7197432436572424,1.7635847965901266,0.9040305225744263,0.8120763915945676,0.9856285733942131,0.9005486801249947,0.8269555745076259,0.982433653590898,0.8003805224646774,0.7120304439476796,0.9722998122059378,0.5387908155402976,0.48810603062548563,0.8741250393393165,0.5201591975262653,0.11464827358479433,0.7309922680412371,0.35851485749057405,-0.05844659019351926,0.22786343612334803,0.5916712835323776,0.3017281389576774,0.7536309249884952,0.293611584226964,0.04416609604440932,0.07197775233109766,25200,49,1379.3,0.19140625
XS_lam0.25,0.25,False,4,7,42,4,1.721067759014788,1.7649111576907195,0.6447714927673218,0.3023300816304685,0.8805949402279678,0.638054749299876,0.3391677845322261,0.888110410872091,0.5315736678337172,0.24522230581013432,0.8495556933250672,0.41975069690746525,0.23543923991002194,0.8694113376489806,0.5162317775327698,0.18852205143770245,0.21124911642936484,0.4054227731597604,0.11549984594704432,0.06798565927499668,0.4732098619321476,0.20257257778121612,0.29262490087232357,0.11991594788222462,-0.0984382392834358,0.059286632390745504,25200,49,1379.3,0.19140625
XS_lam0,0.0,False,2,3,42,4,2.4936688083735272,3.306913757255266,0.8372219474488066,0.7116319360120833,0.984880665383123,0.8741811706345,0.7867598760355728,0.9818949095005008,0.6895539438378364,0.587501061755837,0.959233278608132,0.5052570243614022,0.4468462298029593,0.8491929779435407,0.8513230784123059,0.6840797694493804,0.9785139559982962,0.8159269579692614,0.6580693578512676,0.964025090193506,0.7719944304841916,0.6247618172133615,0.9678635491531854,0.48594807357984504,0.3467668109805946,0.8024404220177301,25200,49,1379.3,0.19140625
XS_lam0_s43,0.0,False,1,3,43,4,2.3561820359325476,2.9602659808756435,0.8012943830557671,0.5975012933803221,0.9784971267599739,0.7617375552028314,0.568288983293748,0.9730239744190873,0.7357597979068928,0.5618356752410932,0.9543382578730083,0.5072809188330057,0.3621481858732278,0.8467951306755899,0.5311258308487572,0.04476329698160392,0.9544860506584266,0.6308628158613305,0.22949734754363238,0.9591964846202135,0.2198673512694833,-0.3333045462380304,0.08279643591501028,0.29959659173580677,-0.02253152402332052,0.08340498710232158,25200,49,1379.3,0.19140625
XS_lam0_s44,0.0,False,1,3,44,4,1.9141656821243687,2.95410942340418,0.8454950736840161,0.6891638756467241,0.9764966456998686,0.8295189026869186,0.688329928145876,0.9721958712555717,0.6638875492647633,0.46487201310402876,0.8997017207266623,0.34741676689242235,0.16313643135826927,0.5149145670431509,0.7883816702740639,0.5466132923839736,0.546622553074166,0.7314860171636249,0.4888078294982814,0.3249350899124916,0.6338986064614478,0.3629468342530855,0.3124710960382303,0.29952664618551766,0.04575504307422248,0.06335383877926021,25200,49,1379.3,0.19140625
XS_lam1,1.0,False,4,3,42,4,1.7213421889468024,1.7420897651565412,0.7653070546845574,0.4870139520820361,0.9013732079394629,0.7232487646206388,0.47516763074605955,0.7885833692659789,0.6573050558873608,0.41843962517756944,0.8920493001880092,0.3597287252015253,0.15893373065831662,0.7451642415265314,0.2875369635036726,-0.042757061525928286,0.4126206493126645,0.2344367280998498,-0.04235272592713318,0.23949671772428885,0.30693371634077105,0.02878700245950867,0.4360119674687118,0.24445081476166527,0.05845368251997016,0.23633041889599374,25200,49,1379.3,0.19140625
